country,sampling_id,lon,lat,air_pollutant,iso_code
France,SPO-FR03069_5,6.13132,43.11974,PM10,FR
France,SPO-FR03069_5,6.13132,43.11974,PM10,FR
France,SPO-FR03070_5,6.76839,43.43787,PM10,FR
France,SPO-FR03070_5,6.76839,43.43787,PM10,FR
France,SPO-FR03070_6001,6.76839,43.43787,PM2.5,FR
France,SPO-FR03070_6001,6.76839,43.43787,PM2.5,FR
France,SPO-FR03071_5,5.92418,43.13111,PM10,FR
France,SPO-FR03071_5,5.92418,43.13111,PM10,FR
France,SPO-FR03071_6001,5.92418,43.13111,PM2.5,FR
France,SPO-FR03071_6001,5.92418,43.13111,PM2.5,FR
France,SPO-FR03080_5,4.80434,43.94967,PM10,FR
France,SPO-FR03080_5,4.80434,43.94967,PM10,FR
France,SPO-FR03080_5,4.80434,43.94967,PM10,FR
France,SPO-FR03080_6001,4.80434,43.94967,PM2.5,FR
France,SPO-FR03080_6001,4.80434,43.94967,PM2.5,FR
France,SPO-FR03080_6001,4.80434,43.94967,PM2.5,FR
France,SPO-FR03084_5,4.85673,43.96014,PM10,FR
France,SPO-FR03084_6001,4.85673,43.96014,PM2.5,FR
France,SPO-FR03087_5,4.82491,43.93706,PM10,FR
France,SPO-FR03087_5,4.82491,43.93706,PM10,FR
France,SPO-FR03091_5,4.82688,43.93140,PM10,FR
France,SPO-FR03091_5,4.82688,43.93140,PM10,FR
France,SPO-FR03091_6001,4.82688,43.93140,PM2.5,FR
France,SPO-FR03091_6001,4.82688,43.93140,PM2.5,FR
France,SPO-FR24007_5,7.09315,43.59880,PM10,FR
France,SPO-FR24009_5,7.00592,43.55839,PM10,FR
France,SPO-FR24009_5,7.00592,43.55839,PM10,FR
France,SPO-FR24009_5,7.00592,43.55839,PM10,FR
France,SPO-FR24009_6001,7.00592,43.55839,PM2.5,FR
France,SPO-FR24009_6001,7.00592,43.55839,PM2.5,FR
France,SPO-FR24009_6001,7.00592,43.55839,PM2.5,FR
France,SPO-FR24009_6001,7.00592,43.55839,PM2.5,FR
France,SPO-FR24018_5,5.78613,43.83578,PM10,FR
France,SPO-FR24018_5,5.78613,43.83578,PM10,FR
France,SPO-FR24018_5,5.78613,43.83578,PM10,FR
France,SPO-FR24018_5,5.78613,43.83578,PM10,FR
France,SPO-FR24018_6001,5.78613,43.83578,PM2.5,FR
France,SPO-FR24018_6001,5.78613,43.83578,PM2.5,FR
France,SPO-FR24018_6001,5.78613,43.83578,PM2.5,FR
France,SPO-FR24018_6001,5.78613,43.83578,PM2.5,FR
France,SPO-FR24020_5,7.15785,43.65834,PM10,FR
France,SPO-FR24020_5,7.15785,43.65834,PM10,FR
France,SPO-FR24021_5,7.37328,43.78658,PM10,FR
France,SPO-FR24021_5,7.37328,43.78658,PM10,FR
France,SPO-FR24021_5,7.37328,43.78658,PM10,FR
France,SPO-FR24021_6001,7.37328,43.78658,PM2.5,FR
France,SPO-FR24021_6001,7.37328,43.78658,PM2.5,FR
France,SPO-FR24021_6001,7.37328,43.78658,PM2.5,FR
France,SPO-FR24023_5,7.33238,43.78875,PM10,FR
France,SPO-FR24023_5,7.33238,43.78875,PM10,FR
France,SPO-FR24033_5,6.07302,44.55520,PM10,FR
France,SPO-FR24033_5,6.07302,44.55520,PM10,FR
France,SPO-FR24033_5,6.07302,44.55520,PM10,FR
France,SPO-FR24033_6001,6.07302,44.55520,PM2.5,FR
France,SPO-FR24033_6001,6.07302,44.55520,PM2.5,FR
France,SPO-FR24035_5,7.24207,43.68929,PM10,FR
France,SPO-FR24035_5,7.24207,43.68929,PM10,FR
France,SPO-FR24035_6001,7.24207,43.68929,PM2.5,FR
